"Line";"File";"TrnID";"Time";"Min";"ON";"OpThreshold";"ClksThisMin";"SpClass";"Qn";"ICIgood";"tWUTrisk";"Marked";"Start";"NofClx";"nActualClx";"medianKHz";"avEndF";"nRisingIPIs";"avSPL";"avPkAt";"avBWx8";"TrDur_us";"AvPRF";"nICIrising";"MinICI_us";"midpointICI";"MaxICI_us";"ClkNofMinICI";"ClkNofMaxICI";"NofClstrs";"avClstrNx8";"avclF0";"avclF1";"avPkIPI";"BeforeIPIratio";"PreIPIratio";"Post1IPIratio";"Post2IPIratio";"EndIPIratio";"EncSpN";"Day";"Timedrift";"Time_adj";"Time_CET";"HP";"Time_UTC"
504;"N90--_20220623_000A_FPOD6894_u_PAL file0 PART 62d 16h 17m.FP3";4;2022-07-13 14:28:00;64447948;"True";0;2616;"NBHF";"Mod";"yes";0;"False";6043074;10;10;122;126;8;56;3;15;400000;25;5;6689;7497;9390;2;6;10;8;0;0;32;3.84;0.98;0.96;0.94;1.01;"n/a";194;0.6092144373673;2022-07-13 14:28:30.824584;NA;0;2022-07-13 12:28:30.21537
505;"N90--_20220623_000A_FPOD6894_u_PAL file0 PART 62d 16h 17m.FP3";5;2022-07-13 14:28:00;64447948;"True";0;2616;"NBHF";"High";"yes";0;"False";6237109;25;25;125;126;11;46;4;15;833333;30;9;5861;6667;7705;25;4;25;8;0;0;32;4.45;0.98;0.99;0.96;1;"n/a";194;0.6092144373673;2022-07-13 14:28:31.79476;NA;0;2022-07-13 12:28:31.185545
506;"N90--_20220623_000A_FPOD6894_u_PAL file0 PART 62d 16h 17m.FP3";6;2022-07-13 14:28:00;64447948;"True";0;2616;"NBHF";"Mod";"yes";0;"False";6471107;7;7;126;131;1;30;4;15;194444;36;2;5361;5709;5825;6;2;7;8;0;0;32;6.44;0.98;0.98;0.97;1.04;"n/a";194;0.6092144373673;2022-07-13 14:28:32.96475;NA;0;2022-07-13 12:28:32.355535
507;"N90--_20220623_000A_FPOD6894_u_PAL file0 PART 62d 16h 17m.FP3";8;2022-07-13 14:28:00;64447948;"True";0;2616;"NBHF";"Mod";"yes";0;"False";9235056;11;11;122;126;9;146;4;15;916666;12;2;13669;15245;19812;8;2;11;18;0;0;32;1.56;1.12;1;0.97;1.01;"n/a";194;0.6092144373673;2022-07-13 14:28:46.784495;NA;0;2022-07-13 12:28:46.17528
508;"N90--_20220623_000A_FPOD6894_u_PAL file0 PART 62d 16h 17m.FP3";2;2022-07-13 14:29:00;64447949;"True";0;397;"NBHF";"High";"yes";0;"False";5711150;28;28;123;125;15;36;4;15;400000;70;6;2236;3020;3565;27;7;28;8;0;0;36;2.54;0.88;0.99;0.95;1.04;"n/a";194;0.6092144373673;2022-07-13 14:29:29.164964;NA;0;2022-07-13 12:29:28.55575
520;"N90--_20220623_000A_FPOD6894_u_PAL file0 PART 62d 16h 17m.FP3";17;2022-07-13 14:29:00;64447949;"True";0;397;"NBHF";"Mod";"no";0;"False";10626131;6;6;127;112;6;406;4;1;375000;16;2;7976;8494;10374;4;6;6;9;0;0;32;0;0.98;0.98;0.97;0.9;"n/a";194;0.6092144373673;2022-07-13 14:29:53.73987;NA;0;2022-07-13 12:29:53.130655
521;"N90--_20220623_000A_FPOD6894_u_PAL file0 PART 62d 16h 17m.FP3";18;2022-07-13 14:29:00;64447949;"True";0;397;"NBHF";"Mod";"no";0;"False";10655945;10;10;122;124;9;406;4;2;909090;11;4;12210;24456;24456;6;5;10;9;0;0;32;5.78;0.98;0.98;0.98;0.99;"n/a";194;0.6092144373673;2022-07-13 14:29:53.88894;NA;0;2022-07-13 12:29:53.279725
522;"N90--_20220623_000A_FPOD6894_u_PAL file0 PART 62d 16h 17m.FP3";19;2022-07-13 14:29:00;64447949;"True";0;397;"NBHF";"Mod";"no";0;"False";10712462;9;9;124;118;9;406;3;0;692307;13;3;7922;17502;19007;7;3;9;10;0;0;31;0;1;0.97;0.95;0.91;"n/a";194;0.6092144373673;2022-07-13 14:29:54.171525;NA;0;2022-07-13 12:29:53.56231
523;"N90--_20220623_000A_FPOD6894_u_PAL file0 PART 62d 16h 17m.FP3";20;2022-07-13 14:29:00;64447949;"True";0;397;"NBHF";"High";"yes";0;"False";10838175;159;159;121;120;152;373;4;3;2092105;76;85;937;1732;5807;36;109;159;12;0;0;32;3.3;0.98;0.98;0.97;0.96;"n/a";194;0.6092144373673;2022-07-13 14:29:54.80009;NA;0;2022-07-13 12:29:54.190875
525;"N90--_20220623_000A_FPOD6894_u_PAL file0 PART 62d 16h 17m.FP3";13;2022-07-13 15:42:00;64448022;"True";0;777;"NBHF";"High";"yes";0;"False";10939392;6;6;132;135;5;357;4;2;750000;8;1;24119;24173;28577;4;5;6;32;0;0;31;0;0.98;1.01;1.01;1.04;"n/a";194;0.6092144373673;2022-07-13 15:42:55.306175;NA;0;2022-07-13 13:42:54.69696
